Sigla,Significado,Descrição
LGPD,Lei Geral de Proteção de Dados,Legislação brasileira de proteção de dados pessoais.
HIPAA,Health Insurance Portability and Accountability Act,Padrão de segurança para dados de saúde nos EUA.
PCI DSS,Payment Card Industry Data Security Standard,Padrão de segurança para transações com cartões.
SMS,Short Message Service,Serviço de mensagens de texto para notificações.
SEO,Search Engine Optimization,Otimização para motores de busca.
KPIs,Key Performance Indicators,Indicadores-chave de desempenho.
GPS,Global Positioning System,Sistema de posicionamento global para rastreamento.
TOTP,Time-Based One-Time Password,Senha descartável baseada em tempo para autenticação.
QR Code,Quick Response Code,Código de barras 2D para validação de acesso.
API,Application Programming Interface,Interface para integração de sistemas.
